,kidney epithelial cell,b cell,cd8-positive alpha-beta t cell,endothelial cell,macrophage,nk cell,cd4-positive helper t cell
UBE3C,0.625549736505059,0.372430330300786,0.587747727022255,0.652112349083549,0.597658359930151,0.451997544246776,0.343136635974297
RPS27AP12,0.00551138896874743,0.127296616888641,0.428216889191465,0.377817895537929,0.338523914509473,0.305190588340504,0.104138361526787
DNAJB6,0.841972529809453,0.41338666952338,0.62003957520382,0.774965274333954,0.721247792243958,0.940380839815804,0.588746513451002
PTPRN2,0.0904636449164781,0.097781965110309,0.275681628231191,0.906215303822568,0.0531572426590964,0.276978442118368,0.19890945260696
MIR153-2,0,0,0,0,0,0,0
MIR595,0,0,0,0,0,0,0
LINC01022,0.00120033609410635,0,0,0,0,0,0
MIR5707,0,0,0,0,0,0,0
THAP5P1,0.00269941803702443,0,0.04149377593361,0,0.0623052959501558,0.0407661772866285,0.0833213052696945
NCAPG2,0.180788339264695,0.0920294792421402,0.193451496328061,0.465912830202203,0.169978217543843,0.46057339660994,0.0552486187845304
ESYT2,0.0962919134250023,0.104298268769843,0.654939266903272,0.747070956857581,0.462533950527138,0.871127443231699,0.563616765837972
WDR60,0.186995243451315,0.12135406835906,0.299327364291888,0.954249194421266,0.274790582998519,0.43546093920715,0.171455179130175
LINC00689,0.026572988780517,0,0,0,0,0.0763358778625954,0
VIPR2,0.063744460974059,0.0216882068041133,0.0369181573638283,0.190276321611906,0,0.327090314326396,0
PIP5K1P2,0,0,0,0,0,0,0
WBP1LP3,0,0,0,0,0,0,0
OR4F21,0,0,0,0,0,0,0
SEPT14P8,0,0,0,0,0,0,0
RPL23AP53,0.383402855466958,0.0737719158273289,0.0429213418010854,0.123577516957333,0.103391114053696,0,0.0453471189045774
ZNF596,0.141526808301994,0.081341279217225,0.057407357386039,0.319803187721654,0.0756791001911104,0.0132336470916981,0.0552486187845304
FAM87A,0,0,0,0.105263157894737,0,0.00627497361816523,0
FBXO25,0.853145208398902,0.134007382690033,0.275121317519439,0.629155963972995,0.272456928205639,0.285571504810839,0.25055465921348
TDRP,0.44728134729638,0.0398762135212023,0.0369991989056599,0.880180949913828,0.0229344212006186,0,0.0377372483522194
ERICH1,0.333692641843161,0.688421116699396,0.712378147788562,1.02544730148817,1.01390786130109,0.783922740976319,0.590303615311891
DLGAP2,0.224778480746425,0,0.12448132780083,0,0,0,0
DLGAP2-AS1,0,0,0,0,0,0,0
CLN8,0.159394382954703,0.217409188446761,0.0384914993745163,0.549222833231876,0.669259566569997,0.273749677279523,0.123928092461265
MIR3674,0,0,0,0,0,0,0
MIR596,0,0,0,0,0,0,0
ARHGEF10,0.0161356063982888,0.0327319819207066,0.0730140426841514,1.3548183039615,0.0499643202511321,0.0605638809786498,0.0684364882621976
KBTBD11-OT1,0.160582578707365,0,0,0,0,0,0
KBTBD11,2.52306546341856,0,0.0356115730966275,0.326732768510517,0.38388442770343,0,0.0239914846683734
MYOM2,0.510778340167493,0.0347900348674517,0.0221940649990224,0.13991114214847,0.0579323880026274,0.0491726525867258,0.0357246267202809
MIR7160,0,0,0,0,0,0,0
CSMD1,0.0228024969695067,0,0,0,0,0,0
RNA5SP251,0,0,0,0,0.0311526479750779,0.0763358778625954,0
